proc.time()-start
      user     system    elapsed 
   710.876    872.484 143026.528 
> save.image("~/results.RData")
> result
     cost gamma        RMSE
1   1e+00 1e-05    907.1781
2   1e+00 1e-05   1507.3663
3   1e+00 1e-05   1147.5448
4   1e+00 1e-05    993.3887
5   1e+00 1e-05   1418.5214
25  1e+02 1e-05    906.6048
21  1e+02 1e-05   1507.0091
22  1e+02 1e-05   1147.0286
23  1e+02 1e-05    992.8870
24  1e+02 1e-05   1418.1116
35  1e+03 1e-05    906.2267
31  1e+03 1e-05   1506.7358
32  1e+03 1e-05   1146.6749
33  1e+03 1e-05    992.5160
34  1e+03 1e-05   1417.8343
45  1e+07 1e-05   7452.9979
41  1e+07 1e-05   7644.4367
42  1e+07 1e-05  11569.9767
43  1e+07 1e-05   7414.0848
44  1e+07 1e-05   9701.0898
55  1e+00 1e-03    905.4897
51  1e+00 1e-03   1506.1392
52  1e+00 1e-03   1145.8706
53  1e+00 1e-03    991.7358
54  1e+00 1e-03   1417.2598
6   1e+02 1e-03    901.0292
61  1e+02 1e-03   1502.9768
62  1e+02 1e-03   1141.8311
63  1e+02 1e-03    987.4937
64  1e+02 1e-03   1414.3005
7   1e+03 1e-03    899.0777
71  1e+03 1e-03   1500.9852
72  1e+03 1e-03   1139.3342
73  1e+03 1e-03    984.8961
74  1e+03 1e-03   1412.2790
8   1e+07 1e-03 122210.4159
81  1e+07 1e-03  60379.7329
82  1e+07 1e-03  80320.0379
83  1e+07 1e-03  72017.3206
84  1e+07 1e-03  77582.2645
9   1e+00 1e-01    887.1711
91  1e+00 1e-01   1488.5789
92  1e+00 1e-01   1127.0383
93  1e+00 1e-01    969.0327
94  1e+00 1e-01   1400.4908
10  1e+02 1e-01    905.6922
101 1e+02 1e-01   1402.1743
102 1e+02 1e-01   1134.9825
103 1e+02 1e-01    899.3156
104 1e+02 1e-01   1388.7312
11  1e+03 1e-01   1062.4701
111 1e+03 1e-01   1506.2739
112 1e+03 1e-01   1302.0152
113 1e+03 1e-01   1039.0270
114 1e+03 1e-01   1443.2768
12  1e+07 1e-01  16371.1129
121 1e+07 1e-01  15493.3883
122 1e+07 1e-01  17989.8759
123 1e+07 1e-01  18567.1762
124 1e+07 1e-01  16697.1937
13  1e+00 1e+00    889.4632
131 1e+00 1e+00   1486.1546
132 1e+00 1e+00   1115.7711
133 1e+00 1e+00    952.0438
134 1e+00 1e+00   1399.4218
14  1e+02 1e+00   1027.7989
141 1e+02 1e+00   1376.4567
142 1e+02 1e+00   1157.1968
143 1e+02 1e+00    945.7205
144 1e+02 1e+00   1411.1700
15  1e+03 1e+00   1525.2962
151 1e+03 1e+00   1624.6594
152 1e+03 1e+00   1245.4507
153 1e+03 1e+00   1053.4033
154 1e+03 1e+00   1482.8831
16  1e+07 1e+00   4154.3020
161 1e+07 1e+00   5392.2059
162 1e+07 1e+00   5350.3508
163 1e+07 1e+00  13240.0278
164 1e+07 1e+00   5768.1156
> 
